source_strategy,num_images,total_bbox_instances,mean_bbox_per_image,median_bbox_per_image,multi_object_image_ratio,num_actual_classes,actual_class_entropy,actual_class_distribution,bbox_area_mean,bbox_area_std,small_bbox_ratio,medium_bbox_ratio,large_bbox_ratio,dataset_distribution,acquisition_seed,strategy,round,labeled_budget
GTFreeDatasetBalancedConsistency,15,25,1.6666666666666667,2.0,0.6,9,2.9794705707972517,"{""crazing"": 2, ""crease"": 4, ""inclusion"": 5, ""pitted_surface"": 4, ""rolled-in_scale"": 4, ""rolled_pit"": 2, ""scratches"": 2, ""silk_spot"": 1, ""water_spot"": 1}",0.16846294921875,0.176450920753017,0.0,0.4,0.6,"{""GC10-DET"": 6, ""NEU-DET"": 9}",42,GTFreeDatasetBalancedConsistency,0,15
GTFreeDatasetBalancedConsistency,20,33,1.65,1.5,0.5,9,2.8892603169716735,"{""crazing"": 2, ""crease"": 8, ""inclusion"": 5, ""pitted_surface"": 4, ""rolled-in_scale"": 4, ""rolled_pit"": 2, ""scratches"": 6, ""silk_spot"": 1, ""water_spot"": 1}",0.14447742069128788,0.15983000016568794,0.0,0.45454545454545453,0.5454545454545454,"{""GC10-DET"": 10, ""NEU-DET"": 10}",42,GTFreeDatasetBalancedConsistency,1,20
GTFreeDatasetBalancedConsistency,25,42,1.68,2.0,0.52,10,2.8827914604869114,"{""crazing"": 2, ""crease"": 12, ""inclusion"": 5, ""patches"": 1, ""pitted_surface"": 5, ""rolled-in_scale"": 7, ""rolled_pit"": 2, ""scratches"": 6, ""silk_spot"": 1, ""water_spot"": 1}",0.1530016369047619,0.18737472708409875,0.0,0.5,0.5,"{""GC10-DET"": 13, ""NEU-DET"": 12}",42,GTFreeDatasetBalancedConsistency,2,25
GTFreeDatasetBalancedConsistency,30,53,1.7666666666666666,2.0,0.5333333333333333,10,2.862858070548279,"{""crazing"": 2, ""crease"": 14, ""inclusion"": 6, ""patches"": 3, ""pitted_surface"": 5, ""rolled-in_scale"": 7, ""rolled_pit"": 2, ""scratches"": 12, ""silk_spot"": 1, ""water_spot"": 1}",0.14033624889445753,0.17424898999635383,0.0,0.5471698113207547,0.4528301886792453,"{""GC10-DET"": 15, ""NEU-DET"": 15}",42,GTFreeDatasetBalancedConsistency,3,30
GTFreeDatasetBalancedConsistency,35,63,1.8,2.0,0.5428571428571428,10,2.865996626649505,"{""crazing"": 4, ""crease"": 19, ""inclusion"": 6, ""patches"": 5, ""pitted_surface"": 6, ""rolled-in_scale"": 7, ""rolled_pit"": 2, ""scratches"": 12, ""silk_spot"": 1, ""water_spot"": 1}",0.14722869543650793,0.1856698070112416,0.015873015873015872,0.5238095238095238,0.4603174603174603,"{""GC10-DET"": 18, ""NEU-DET"": 17}",42,GTFreeDatasetBalancedConsistency,4,35
GTFreeDatasetBalancedVisualDiversity,15,25,1.6666666666666667,2.0,0.6,9,2.9794705707972517,"{""crazing"": 2, ""crease"": 4, ""inclusion"": 5, ""pitted_surface"": 4, ""rolled-in_scale"": 4, ""rolled_pit"": 2, ""scratches"": 2, ""silk_spot"": 1, ""water_spot"": 1}",0.16846294921875,0.176450920753017,0.0,0.4,0.6,"{""GC10-DET"": 6, ""NEU-DET"": 9}",42,GTFreeDatasetBalancedVisualDiversity,0,15
GTFreeDatasetBalancedVisualDiversity,20,31,1.55,1.5,0.5,10,3.031304682179236,"{""crazing"": 2, ""crease"": 8, ""inclusion"": 5, ""patches"": 2, ""pitted_surface"": 4, ""rolled-in_scale"": 4, ""rolled_pit"": 2, ""scratches"": 2, ""silk_spot"": 1, ""water_spot"": 1}",0.15418780871975807,0.17059665635882912,0.0,0.45161290322580644,0.5483870967741935,"{""GC10-DET"": 10, ""NEU-DET"": 10}",42,GTFreeDatasetBalancedVisualDiversity,1,20
GTFreeDatasetBalancedVisualDiversity,25,41,1.64,1.0,0.48,10,2.885190022552859,"{""crazing"": 2, ""crease"": 13, ""inclusion"": 5, ""patches"": 2, ""pitted_surface"": 4, ""rolled-in_scale"": 4, ""rolled_pit"": 2, ""scratches"": 7, ""silk_spot"": 1, ""water_spot"": 1}",0.13075293921493905,0.15508770181947573,0.024390243902439025,0.5121951219512195,0.4634146341463415,"{""GC10-DET"": 13, ""NEU-DET"": 12}",42,GTFreeDatasetBalancedVisualDiversity,2,25
GTFreeDatasetBalancedVisualDiversity,30,54,1.8,2.0,0.5333333333333333,10,2.927827958735734,"{""crazing"": 5, ""crease"": 14, ""inclusion"": 10, ""patches"": 2, ""pitted_surface"": 4, ""rolled-in_scale"": 4, ""rolled_pit"": 4, ""scratches"": 9, ""silk_spot"": 1, ""water_spot"": 1}",0.1313363407841435,0.14445643806327169,0.018518518518518517,0.46296296296296297,0.5185185185185185,"{""GC10-DET"": 15, ""NEU-DET"": 15}",42,GTFreeDatasetBalancedVisualDiversity,3,30
GTFreeDatasetBalancedVisualDiversity,35,63,1.8,2.0,0.5714285714285714,10,2.9046030314991813,"{""crazing"": 5, ""crease"": 19, ""inclusion"": 10, ""patches"": 4, ""pitted_surface"": 6, ""rolled-in_scale"": 4, ""rolled_pit"": 4, ""scratches"": 9, ""silk_spot"": 1, ""water_spot"": 1}",0.1316394267733135,0.14091426959762918,0.031746031746031744,0.4444444444444444,0.5238095238095238,"{""GC10-DET"": 18, ""NEU-DET"": 17}",42,GTFreeDatasetBalancedVisualDiversity,4,35
GTFreeRandom,15,25,1.6666666666666667,2.0,0.6,9,2.9794705707972517,"{""crazing"": 2, ""crease"": 4, ""inclusion"": 5, ""pitted_surface"": 4, ""rolled-in_scale"": 4, ""rolled_pit"": 2, ""scratches"": 2, ""silk_spot"": 1, ""water_spot"": 1}",0.16846294921875,0.176450920753017,0.0,0.4,0.6,"{""GC10-DET"": 6, ""NEU-DET"": 9}",42,GTFreeRandom,0,15
GTFreeRandom,20,33,1.65,2.0,0.6,9,2.8892603169716735,"{""crazing"": 2, ""crease"": 8, ""inclusion"": 6, ""pitted_surface"": 4, ""rolled-in_scale"": 4, ""rolled_pit"": 2, ""scratches"": 5, ""silk_spot"": 1, ""water_spot"": 1}",0.14511671697443185,0.1640075230667272,0.030303030303030304,0.45454545454545453,0.5151515151515151,"{""GC10-DET"": 8, ""NEU-DET"": 12}",42,GTFreeRandom,1,20
GTFreeRandom,25,47,1.88,2.0,0.64,10,2.893917045918895,"{""crazing"": 5, ""crease"": 14, ""inclusion"": 9, ""patches"": 2, ""pitted_surface"": 4, ""rolled-in_scale"": 4, ""rolled_pit"": 2, ""scratches"": 5, ""silk_spot"": 1, ""water_spot"": 1}",0.1286841069647606,0.1553972066701803,0.14893617021276595,0.40425531914893614,0.44680851063829785,"{""GC10-DET"": 9, ""NEU-DET"": 16}",42,GTFreeRandom,2,25
GTFreeRandom,30,56,1.8666666666666667,2.0,0.6333333333333333,10,2.8832726727387747,"{""crazing"": 5, ""crease"": 16, ""inclusion"": 12, ""patches"": 4, ""pitted_surface"": 6, ""rolled-in_scale"": 4, ""rolled_pit"": 2, ""scratches"": 5, ""silk_spot"": 1, ""water_spot"": 1}",0.13188017403738841,0.14998706556867114,0.125,0.4107142857142857,0.4642857142857143,"{""GC10-DET"": 11, ""NEU-DET"": 19}",42,GTFreeRandom,3,30
GTFreeRandom,35,66,1.8857142857142857,2.0,0.6285714285714286,10,2.8080772661062534,"{""crazing"": 10, ""crease"": 21, ""inclusion"": 12, ""patches"": 4, ""pitted_surface"": 6, ""rolled-in_scale"": 4, ""rolled_pit"": 2, ""scratches"": 5, ""silk_spot"": 1, ""water_spot"": 1}",0.1400709354285038,0.15394229467741166,0.12121212121212122,0.3939393939393939,0.48484848484848486,"{""GC10-DET"": 14, ""NEU-DET"": 21}",42,GTFreeRandom,4,35
